poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseKalman.x PoseKalman.y
0 0 0 0 0 0 0 0 0 0 8.57253e-17 0.4
-0.0419937 0.39982 1.38509 0.302469 2.06988 -0.0194153 0 0 0 0 1.66834 0.286294
-0.0839496 0.39928 0.875173 0.518428 1.68315 -0.318398 0 0 0 0 1.26098 0.163439
-0.12583 0.398381 0.817955 0.616476 1.27197 -0.0173733 0 0 0 0 1.15731 0.467109
-0.167597 0.397123 1.13597 0.353073 1.16572 0.623299 0 0 0 0 1.23402 0.702152
-0.209213 0.395508 0.435733 0.663639 1.51093 0.829113 0 0 0 0 0.713369 0.291665
-0.250641 0.393537 2.08734 0.575189 2.04139 -0.141027 0 0 0 0 1.60453 0.218574
-0.291844 0.391212 1.38635 0.161803 2.01109 -1.61716 0 0 0 0 1.32718 -0.462311
-0.332784 0.388535 2.17349 0.750316 -0.406055 1.4289 0 0 0 0 0.907013 0.757162
-0.373424 0.385508 1.51829 0.374295 1.33449 0.16314 0 0 0 0 1.33677 0.404191
-0.413728 0.382135 1.19789 0.365715 1.40019 0.280666 0 0 0 0 1.1599 0.386583
-0.45366 0.378417 0.672814 0.559053 0.899669 0.94136 0 0 0 0 0.870794 0.44848
-0.493184 0.374359 1.1902 0.386339 -0.672248 1.59446 0 0 0 0 0.624163 0.774775
-0.532264 0.369964 1.58087 0.444701 2.04687 -0.806433 0 0 0 0 1.63514 0.162723
-0.570865 0.365236 1.86869 0.461312 -1.06949 2.14466 0 0 0 0 0.688971 0.982227
-0.608952 0.360179 1.36774 0.327813 1.36858 0.639899 0 0 0 0 1.21173 0.509254
-0.646491 0.354798 0.667102 0.614219 1.98685 -0.76613 0 0 0 0 1.30853 0.479899
-0.683448 0.349098 1.24003 0.376807 1.7008 -0.00934077 0 0 0 0 1.38857 0.579077
-0.71979 0.343083 1.57111 0.425318 2.29915 -1.29419 0 0 0 0 1.70911 0.342761
-0.755485 0.33676 1.09002 0.55784 0.592132 1.33936 0 0 0 0 1.00214 0.796737
-0.790499 0.330134 1.45467 0.386563 1.45984 -0.149817 0 0 0 0 1.17394 0.0512126
-0.828338 0.323211 1.83084 0.504626 1.0861 0.665442 0 0 0 0 1.11037 0.236013
-0.865721 0.315997 1.3947 0.387202 0.592436 0.964346 0 0 0 0 0.961987 0.525665
-0.90261 0.308498 1.52136 0.446597 0.25509 1.31883 0 0 0 0 0.701129 0.433424
-0.938964 0.300722 1.29531 0.382062 0.815247 0.874618 0 0 0 0 0.650872 0.172945
-0.974743 0.292676 1.91163 0.582439 0.834505 1.16848 2.94617 -0.0233693 0 0 1.59918 0.545607
-1.00991 0.284365 1.27098 0.433772 1.81029 0.112357 1.02589 0.318274 0 0 1.22091 0.327924
-1.04442 0.275799 1.18236 0.430262 1.47591 0.642827 1.09921 0.64791 0 0 1.2298 0.602595
-1.07824 0.266985 1.42241 0.369019 2.0888 -0.355849 0.0877636 0.131012 0 0 0.795487 -0.152926
-1.11133 0.257931 1.66819 0.424948 0.921021 0.957933 0.584397 0.50127 0 0 1.0038 0.500502
-1.14366 0.248644 1.222 0.649374 -1.13034 1.84474 1.54514 0.333533 0 0 0.706854 1.34216
-1.17517 0.239134 1.46558 0.402162 0.932822 0.75296 1.10432 0.373105 0 0 1.09734 0.534463
-1.20585 0.229408 1.21287 0.525126 0.919019 0.970259 0.614006 0.0825908 0 0 0.854953 0.41805
-1.23565 0.219476 1.10038 0.512727 0.817427 1.28538 0.641538 0.573812 0 0 0.78848 0.569827
-1.26453 0.209346 1.57873 0.514366 2.33658 -1.20875 0.532726 0.61318 0 0 1.1526 -0.116149
