poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseAver.x PoseAver.y
1.43896e-16 1.33 0 0 0 0 0 0 0 0 0 0
2.35535 0.78443 2.23248 1.25444 2.90999 -0.462897 0 0 0 0 2.35535 0.78443
2.43071 1.8421 2.47791 2.22309 2.37505 0.689128 0 0 0 0 2.43071 1.8421
2.30218 0.541655 2.26146 1.33907 3.80649 -1.48788 0 0 0 0 2.30218 0.541655
2.50214 0.960073 2.34936 1.28405 3.6392 -1.61037 0 0 0 0 2.50214 0.960073
2.476 1.15817 2.54059 1.70515 2.92377 0.593459 0 0 0 0 2.476 1.15817
2.15906 1.79554 2.52112 1.55043 0.715116 2.30057 0 0 0 0 2.15906 1.79554
2.43192 1.35622 2.21713 1.19545 2.9763 1.00594 0 0 0 0 2.43192 1.35622
2.40695 0.857122 2.1815 1.13579 3.29249 -1.16615 0 0 0 0 2.40695 0.857122
2.10981 0.819738 2.48522 1.57146 2.62157 0.391843 0 0 0 0 2.10981 0.819738
2.64175 1.46633 2.49378 1.72121 3.52357 -1.07195 0 0 0 0 2.64175 1.46633
2.29946 1.18381 2.06569 1.04352 3.28648 -0.566008 0 0 0 0 2.29946 1.18381
1.77043 1.9609 2.20812 1.26697 -0.151611 2.32046 0 0 0 0 1.77043 1.9609
2.02789 1.76263 2.28813 1.25564 0.735874 2.18232 0 0 0 0 2.02789 1.76263
2.13644 2.09404 2.43546 1.52351 0.724626 2.27263 0 0 0 0 2.13644 2.09404
2.33094 1.35677 2.4351 1.39429 2.99413 0.232415 1.53465 1.79866 0 0 2.33094 1.35677
2.36015 2.04671 2.53466 1.87415 2.56977 1.90997 1.41345 1.72602 0 0 2.36015 2.04671
2.18618 1.79787 2.48806 1.54546 1.07027 2.12644 2.14701 1.51427 0 0 2.18618 1.79787
2.5546 0.956549 2.47195 1.7674 3.3685 -1.02602 2.68844 0.796352 0 0 2.5546 0.956549
2.50822 1.4843 2.62773 2.04388 3.29554 -0.655127 1.82077 1.53865 0 0 2.50822 1.4843
2.51311 1.31761 2.51392 1.64994 3.23197 -1.30795 2.10394 1.33163 0 0 2.51311 1.31761
2.52642 0.998261 2.07305 1.11463 2.88772 0.51019 3.80947 0.619956 0 0 2.52642 0.998261
1.82485 1.63826 2.38471 1.39601 -3.02369 3.15926 2.86108 1.11608 0 0 1.82485 1.63826
2.50086 1.33864 2.4456 1.52418 2.2667 1.60024 2.94549 0.945292 0 0 2.50086 1.33864
2.2385 1.49654 2.51109 2.25678 2.75842 0.05423 1.39353 1.49728 0 0 2.2385 1.49654
1.91741 1.65404 2.14036 1.04478 0.150473 2.8025 2.07146 1.31417 0 0 1.91741 1.65404
2.11704 1.24883 2.10448 1.0142 1.55624 1.69179 2.53698 1.1377 0 0 2.11704 1.24883
2.22166 1.03633 1.90404 0.80903 2.50561 1.70385 2.78065 1.41971 0 0 2.22166 1.03633
2.06484 1.56052 2.48891 1.68486 1.90627 1.79195 0.956798 1.58965 0 0 2.06484 1.56052
2.66733 1.45338 2.53706 1.81857 1.97303 1.58209 3.69385 0.50252 0 0 2.66733 1.45338
2.42855 1.69317 2.53703 1.9896 2.78326 1.5051 2.21637 1.78101 0 0 2.42855 1.69317
2.06044 1.21587 2.3266 1.1941 2.3067 0.981819 0.935213 1.35947 0 0 2.06044 1.21587
1.8398 1.30193 2.09226 1.18072 0.684554 2.83562 1.69482 1.3679 0 0 1.8398 1.30193
2.55339 1.29257 2.18628 1.16468 2.9754 0.049666 3.72678 0.625238 0 0 2.55339 1.29257
2.1812 1.1409 2.63693 1.90929 3.1075 0.004129 1.42701 1.24632 0 0 2.1812 1.1409
2.09308 1.10525 1.71881 0.843984 2.51692 1.47773 2.7821 1.21812 0 0 2.09308 1.10525
1.85016 1.22268 1.95535 1.00283 1.26307 2.05362 1.54656 1.55879 0 0 1.85016 1.22268
2.38048 1.86826 2.51144 1.55827 1.00165 2.29947 3.4703 1.15976 0 0 2.38048 1.86826
2.37722 1.77332 2.44968 1.6879 1.78283 2.37033 2.43602 1.22126 0 0 2.37722 1.77332
2.31208 1.18436 2.49847 1.61079 2.42082 0.756472 2.03755 1.72001 0 0 2.31208 1.18436
2.22206 1.6265 2.44033 1.57322 -0.397573 3.15503 3.36704 0.975284 0 0 2.22206 1.6265
2.39788 1.55968 2.47798 1.73462 0.0063593 2.44492 4.22793 0.347171 0 0 2.39788 1.55968
2.20341 1.49875 2.37102 1.61951 2.32008 1.47334 1.32301 1.70153 0 0 2.20341 1.49875
1.76043 1.50023 2.00869 0.990287 1.20696 2.57378 0.890117 1.32298 0 0 1.76043 1.50023
1.68765 1.16343 2.46055 1.63478 1.0972 2.06147 0.891232 1.44624 0 0 1.68765 1.16343
2.18394 1.31183 2.17225 1.23363 1.92651 1.83508 2.46947 1.52337 0 0 2.18394 1.31183
2.1507 1.42858 2.44152 1.93203 0.557456 2.65012 3.22287 1.09498 0 0 2.1507 1.42858
2.36371 1.69066 2.5094 1.7002 3.15978 0.151359 1.52035 1.4162 0 0 2.36371 1.69066
1.81132 1.37217 2.13364 0.910176 -0.0557925 2.62933 1.72206 1.6571 0 0 1.81132 1.37217
2.5174 1.56305 2.57069 1.91869 3.1927 -0.293959 2.09419 1.65087 0 0 2.5174 1.56305
2.76969 1.04575 2.2921 1.25576 3.08553 -0.837468 4.11498 -0.0556544 0 0 2.76969 1.04575
2.33144 1.1373 2.3214 1.22784 2.88725 0.889061 1.8975 1.29592 0 0 2.33144 1.1373
1.89286 1.55895 2.04977 1.31318 2.10777 1.08377 0.935146 1.46145 0 0 1.89286 1.55895
